sNoPlace,nLongitude,nLatitude,nPositionCentreLongitude,nPositionCentreLatitude,sStatut,sGenre,sType,sAutreTete,sNomRue,nSupVelo,sTypeExploitation,nTarifHoraire,sLocalisation,nTarifMax
PM580,-73.60281473,45.52649659,-73.60285321,45.5264883,1,NORMAL,Double,PM581,Bernard,1,Régulier Payez-Partez,300,S,
PM581,-73.60281473,45.52649659,-73.60281556,45.52652886,1,NORMAL,Double,PM580,Bernard,1,Régulier Payez-Partez,300,S,
PM582,-73.60273986,45.52657762,-73.60277792,45.52656942,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM588,-73.60264369,45.52695539,-73.60260652,45.52696133,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM589,-73.60256721,45.52704058,-73.60256332,45.52700787,1,NORMAL,Double,PM590,Bernard,1,Régulier Payez-Partez,300,S,
PM590,-73.60256721,45.52704058,-73.60252385,45.5270504,1,NORMAL,Double,PM589,Bernard,1,Régulier Payez-Partez,300,S,
PM592,-73.60245554,45.52716176,-73.6024507,45.52712921,1,NORMAL,Double,PM593,Bernard,1,Régulier Payez-Partez,300,S,
PM593,-73.60245554,45.52716176,-73.60241611,45.52716648,1,NORMAL,Double,PM592,Bernard,1,Régulier Payez-Partez,300,S,
PM599,-73.60246522,45.52687372,-73.60246995,45.52689979,1,NORMAL,Simple,,Bernard,1,Régulier Payez-Partez,300,S,
PM669,-73.60150621,45.52310088,-73.60150446,45.52306683,1,NORMAL,Double,PM670,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM670,-73.60150621,45.52310088,-73.60146381,45.52311245,1,NORMAL,Double,PM669,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM671,-73.60145331,45.52316188,-73.60142359,45.52315909,1,NORMAL,Simple,,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM672,-73.60138368,45.52323836,-73.60138253,45.52320538,1,NORMAL,Double,PM673,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM673,-73.60138368,45.52323836,-73.60134147,45.52325167,1,NORMAL,Double,PM672,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM674,-73.60130539,45.52332475,-73.60130041,45.52329795,1,NORMAL,Simple,,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM680,-73.60136749,45.52302389,-73.60140941,45.52301102,1,NORMAL,Double,PM681,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM681,-73.60136749,45.52302389,-73.60136697,45.52305794,1,NORMAL,Double,PM680,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM682,-73.60130934,45.5230867,-73.60132375,45.52310585,1,NORMAL,Simple,,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM692,-73.60103761,45.52362933,-73.60099404,45.52364164,1,NORMAL,Simple,,Saint-Viateur,1,Régulier Payez-Partez,300,S,
PM693,-73.6009518,45.52371888,-73.60095186,45.523687,1,NORMAL,Double,PM694,Saint-Viateur,1,Régulier Payez-Partez,300,S,
